name;symptom1;symptom2;symptom3;symptom4;symptom5;symptom6;symptom7;symptom8;symptom9;symptom10;context;incidence;prevalence;medicalHistory
Angor d'effort;Douleur thoracique (3);Impossibilité de respirer lors d'un effort (3);;;;;;;;;;;1,60 %;
Infarctus du myocarde ;Douleur thoracique (3);Angoisse de mort (1);Nausées (2);;;;;;;;;120000;;
Phlébite ;Douleur mollet (7);Fièvre (1);Mollet gonflé (7);Mollet rouge/chaud (7);;;;;;;;60000;;
Fibrillation auriculaire;Palpitations (3);Pouls rapide (1);Fatigue (1);;;;;;;;Age élevé;;1,20 %;
Salpingite aïgue;Douleur pelvienne (11);Pertes vaginales sales (11);Saignement vaginal (11);Fièvre (1);Brûlures urinaires (11);Douleur urinaire (11);;;;;Rapports sexuels à risque / Geste gynécologique ;100000;;
Mycose Vaginale;Ecoulement blanchâtre (11);Démangeaisons vaginales (11);Douleur lors des rapports sexuels (11);;;;;;;;Antiobiotiques récents ;1000000;;
Infection vaginale;Pertes vaginales sales (11);;;;;;;;;;;;;
Paludisme ;Fièvre (1);Mal de tête diffus (6);Douleurs articulaires diffuses (1);Douleurs musculaires diffuses (1);Douleur abdominale (2/0);Nausées (2);Vomissements (2);Diarrhée (2);;;Retour de voyage;5000;;
Infection urinaire basse (cystite);Brûlures urinaires (11);Douleur urinaire (11);Besoin d'uriner fréquent et urgent (11);Urines foncées ou troubles (11);Sang dans les urines (11);;;;;;Femmes uniquement, si homme: prostatite;900000;;
Pyélonéphrite;Douleur lombaire (12);;Fièvre (1);;;;;;;;;;;
Prostatite aïgue;;Difficultés à uriner (11);Fièvre (1);Douleur pelvienne (11);;;;;;;;;3,00 %;
Prostatite chronique ;;Pesanteur pelvienne (11);Poussées de fièvre résolutives (1);;;;;;;;;;6,00 %;
Hypertrophie bénigne de prostate;Jet urinaire haché (11);Nécessité de pousser pour uriner (11);Gouttes d'urines retardataires (11);Sensation de vidange incomplète (11);;;;;;;;;;
Grossesse;Absence de règles (11);Nausées (2);Humeur labile (1);Test de grossesse positif (11);Seins tendus (3);;;;;;Rapport sexuel à risque ;;;
Grossesse extra utérine;Signes de grossesse (11);Douleur pelvienne latéralisée (11);Saignement vaginal (11);Test de grossesse positif (11);;;;;;;Rapport sexuel à risque ;;;
Pathologies annexielles;Douleur pelvienne latéralisée (11);;;;;;;;;;;;;
Endométriose ;Douleurs pelviennes cycliques (11);Règles non régulières (11);Douleur lors des rapports sexuels (11);Douleur abdominale (2);Infertilité (11);;;;;;;;;
Syndrôme pré-menstruel;Tension mammaire (3);Douleur pelvienne (11);Humeur labile (1);;;;;;;;Précède l'apparition des régles ;;;
Syndrôme inter-menstruel;Douleur pelvienne (11);;;;;;;;;;En milieu de cycle ;;;
Angine;Mal à la gorge (4);Fièvre (1);Douleur lors de la déglutition (4);Fatigue (1);;;;;;;Proche atteint;8000000;;
Sinusite aïgue ;Douleur sinus (5);Obstruction nasale (5);Nez qui coule (5);Fièvre (1);;;;;;;;;;
Sinusute chronique ;Nez qui coule (5);Obstruction nasale (5);;;;;;;;;Depuis plus de 3 semaines;;;
Appendicite ;Douleur abdominale (2/7);Fièvre (1);;;;;;;;;;;;
Diverticulite / Sigmoïdite;Douleur abdominale (2/9);Fièvre (1);Nausées (2);Vomissements (2);Troubles du transit (2);;;;;;;;;Diverticulose
Syndrôme occlusif;Arrêt des matières et des gaz (2);Vomissements (2);Douleur abdominale (2/0) ;Abdomen gonflé (2);;;;;;;;;;
Hernie de l'aine;Tuméfaction inguinale (2);;;;;;;;;;;;;Toux chronique / Constipation / Obésité 
Hernie  étranglée;Tuméfaction inguinale (2);;;;;;;;;;;;;
Hernie ombilicale;Nombril déplissé et saillant (2);;;;;;;;;;;;;
Hernie ombilicale étranglée;Nombril déplissé et saillant (2);;;;;;;;;;;;;
Cirrhose;Gros foie (2/1);Angiomes stellaires (10);Rougeur mains/pieds (14:15);Coloration jaune (10);Ongles blancs et volumineux (14);Haleine douceâtre (4);Gros abdomen (2);Veines abdominales (2);;;;;;Alcool / Hépatite B / Hépatite C / Obésité
Colique hépatique;Douleur abdominale (2/1:2);;;;;;;;;;;;;
Cholécystite aigue;Douleur abdominale (2/1:2);Fièvre (1);;;;;;;;;;;;
Angiocholite;Douleur abdominale (2/1:2);Fièvre (1);Coloration jaune (10);;;;;;;;;;;
Pancréatite aigue ;Douleur abdominale (2/2);Nausées (2);;;;;;;;;Alcool;;;Lithiase biliaire
Pancréatite chronique;Douleur abdominale (2/2);Diarrhée chronique (2);Amaigrissement (1);Coloration jaune (10);;;;;;;Alcool;;;Pancréatite aigue
Hémorroïdes: Thrombose;Douleur anale (11);Tuméfaction anale bleue et dure (11);;;;;;;;;;;;
Hémorroïdes: Prolapsus;Gêne anale (11);Suintement anal (11);Tuméfaction anale rouge et souple (11);;;;;;;;;;;
Hemorroïdes: Saignement;Sang sur les selles (11);;;;;;;;;;;;;
Ulcère gastro-duodénal;Douleur abdominale (2/2);;;;;;;;;;Prise d'anti-inflammatoires / Prise d'aspirine;;;
Accident vasculaire cérébral;Trouble de la vigilance (1);Déficit moteur (1);Troubles de la vision (13);Déficit sensitif (1);Difficultés à parler (1);;;;;;;;;
Maladie de Parkison;Tremblements de repos (1);Rigidité (1);Ralentissement des mouvements (1);Marche difficile (1);;;;;;;;;;
Migraine;Mal de tête unilatéral pulsatile (6);Nausées (2);Crainte du bruit (1);Crainte de la lumière (1);;;;;;;;;;
Migraine avec aura;;Troubles de la vision (13);Troubles du langage (1);Troubles sensitifs (1);;;;;;;;;;
Hémorragie méningée;Mal de tête diffus brutal (6);Nausées (2);Crainte de la lumière (1);Troubles de la vigilance (1);Convulsions (1);;;;;;Tabac / Hypertension artérielle;;;
Cataracte;Baisse de la vision de loin (13);Crainte de la lumière (1);Eblouissement  (13);;;;;;;;Age élevé / Corticothérapie / Diabète;;;
DMLA;Baisse de la vision (13);Déformation des objets (13);Amputation centrale du champ visuel (13);Difficulté à la vision en obscurité (13);;;;;;;Age élevé;;;
Hémorragie oculaire intra-vitréenne;Baisse de la vision partielle (13);Œil indolore (13);;;;;;;;;;;;
Occlusion artère centrale de la rétine;Baisse de la vision brutale et totale (13);Œil indolore (13);;;;;;;;;;;;
Occlusion de la veine centrale de la rétine;Baisse de la vision rapide et partielle (13);Œil indolore (13);;;;;;;;;;;;
NOIAA;Baisse de la vision brutale et horizontale (13);Apparition matinale (13);Œil indolore (13);;;;;;;;Maladie de Horton;;;
Décollement de rétine;"Impression de ""mouches volantes"" (13)";Eclairs lumineux (13);Baisse de la vision partielle puis totale (13);Œil indolore (13);;;;;;;Forte myopie / Opération de la cataracte;;;
Hémorragie sous conjonctivale;Œil rouge (13);Vision normale (13);;;;;;;;;;;;
Conjonctivite;Œil rouge (13);Vision normale (13);Démangeaisons oculaires (13);Sensation de grain de sable (13);Larmoiement (13);Œil collé le matin (13);;;;;;;;
Episclérite ou sclérite;Œil rouge (13);Œil douloureux (13);Vision normale (13);;;;;;;;;;;
Kératite aigue;Œil rouge (13);Œil douloureux (13);Baisse de la vision (13);Douleur au clignement des paupières (13);Crainte de la lumière (1);;;;;;;;;
Glaucome aigu;Œil rouge (13);Œil douloureux (13);Baisse de la vision brutale et massive (13);Œil dur en bille de bois (13);Crainte de la lumière (1);Nausées (2);Vomissements (2);Douleur au visage (6);;;;;;
Glaucome chronique;Baisse de la vision progressive et tardive (13);;;;;;;;;;;;;
